Type,Disease,Key1,Key2,Count
Total,Measles,,,420
Weekly,Measles,2026-01-05,BU,1
Weekly,Measles,2026-01-05,MC,1
Weekly,Measles,2026-01-12,BU,4
Weekly,Measles,2026-01-12,GH,2
Weekly,Measles,2026-01-12,MC,1
Weekly,Measles,2026-01-19,BU,5
Weekly,Measles,2026-01-26,BU,14
Weekly,Measles,2026-02-02,BU,11
Weekly,Measles,2026-02-09,BU,14
Weekly,Measles,2026-02-09,MC,2
Weekly,Measles,2026-02-16,BU,12
Weekly,Measles,2026-02-16,GH,1
Weekly,Measles,2026-02-16,MC,1
Weekly,Measles,2026-02-23,BU,21
Weekly,Measles,2026-02-23,MC,2
Weekly,Measles,2026-03-02,BU,18
Weekly,Measles,2026-03-02,MC,2
Weekly,Measles,2026-03-09,BU,37
Weekly,Measles,2026-03-09,MC,3
Weekly,Measles,2026-03-16,BU,29
Weekly,Measles,2026-03-23,BU,56
Weekly,Measles,2026-03-30,BU,57
Weekly,Measles,2026-03-30,MC,1
Weekly,Measles,2026-04-06,BU,59
Weekly,Measles,2026-04-06,MC,2
Weekly,Measles,2026-04-13,BU,63
Weekly,Measles,2026-04-13,MC,1
Monthly,Measles,2026-01,,27
Monthly,Measles,2026-02,,64
Monthly,Measles,2026-03,,158
Monthly,Measles,2026-04,,171
Hospital,Measles,BU,,401
Hospital,Measles,GH,,3
Hospital,Measles,MC,,16
Gender,Measles,F,,189
Gender,Measles,M,,231
Age,Measles,0-4,,142
Age,Measles,5-14,,71
Age,Measles,15-24,,81
Age,Measles,25-44,,41
Age,Measles,45-64,,6
Age,Measles,65+,,2
Total,Dengue,,,976
Weekly,Dengue,2025-12-29,BU,5
Weekly,Dengue,2025-12-29,EG,2
Weekly,Dengue,2025-12-29,GH,1
Weekly,Dengue,2025-12-29,HG,11
Weekly,Dengue,2025-12-29,MC,1
Weekly,Dengue,2026-01-05,BE,1
Weekly,Dengue,2026-01-05,BU,11
Weekly,Dengue,2026-01-05,EG,1
Weekly,Dengue,2026-01-05,HG,9
Weekly,Dengue,2026-01-12,BE,1
Weekly,Dengue,2026-01-12,BU,17
Weekly,Dengue,2026-01-12,EG,2
Weekly,Dengue,2026-01-12,GH,1
Weekly,Dengue,2026-01-12,HG,16
Weekly,Dengue,2026-01-12,SL,1
Weekly,Dengue,2026-01-19,BE,1
Weekly,Dengue,2026-01-19,BO,4
Weekly,Dengue,2026-01-19,BU,37
Weekly,Dengue,2026-01-19,EG,1
Weekly,Dengue,2026-01-19,GH,3
Weekly,Dengue,2026-01-19,HG,24
Weekly,Dengue,2026-01-26,BA,1
Weekly,Dengue,2026-01-26,BE,2
Weekly,Dengue,2026-01-26,BO,3
Weekly,Dengue,2026-01-26,BU,55
Weekly,Dengue,2026-01-26,EG,1
Weekly,Dengue,2026-01-26,GH,2
Weekly,Dengue,2026-01-26,HG,33
Weekly,Dengue,2026-01-26,MC,6
Weekly,Dengue,2026-02-02,BA,3
Weekly,Dengue,2026-02-02,BE,2
Weekly,Dengue,2026-02-02,BO,4
Weekly,Dengue,2026-02-02,BU,89
Weekly,Dengue,2026-02-02,GH,13
Weekly,Dengue,2026-02-02,HG,34
Weekly,Dengue,2026-02-02,MC,1
Weekly,Dengue,2026-02-09,BA,1
Weekly,Dengue,2026-02-09,BE,2
Weekly,Dengue,2026-02-09,BO,1
Weekly,Dengue,2026-02-09,BU,46
Weekly,Dengue,2026-02-09,EG,3
Weekly,Dengue,2026-02-09,GH,13
Weekly,Dengue,2026-02-09,HG,33
Weekly,Dengue,2026-02-09,MC,3
Weekly,Dengue,2026-02-16,BA,4
Weekly,Dengue,2026-02-16,BE,2
Weekly,Dengue,2026-02-16,BO,4
Weekly,Dengue,2026-02-16,BU,55
Weekly,Dengue,2026-02-16,EG,2
Weekly,Dengue,2026-02-16,GH,9
Weekly,Dengue,2026-02-16,HG,71
Weekly,Dengue,2026-02-16,MC,2
Weekly,Dengue,2026-02-23,BO,1
Weekly,Dengue,2026-02-23,BU,27
Weekly,Dengue,2026-02-23,EG,1
Weekly,Dengue,2026-02-23,GH,11
Weekly,Dengue,2026-02-23,HG,43
Weekly,Dengue,2026-03-02,BE,3
Weekly,Dengue,2026-03-02,BO,2
Weekly,Dengue,2026-03-02,BU,11
Weekly,Dengue,2026-03-02,EG,3
Weekly,Dengue,2026-03-02,GH,2
Weekly,Dengue,2026-03-02,HG,27
Weekly,Dengue,2026-03-02,MC,3
Weekly,Dengue,2026-03-09,BA,1
Weekly,Dengue,2026-03-09,BE,1
Weekly,Dengue,2026-03-09,BO,2
Weekly,Dengue,2026-03-09,BU,13
Weekly,Dengue,2026-03-09,EG,12
Weekly,Dengue,2026-03-09,GH,1
Weekly,Dengue,2026-03-09,HG,10
Weekly,Dengue,2026-03-09,MC,2
Weekly,Dengue,2026-03-16,BO,2
Weekly,Dengue,2026-03-16,BU,9
Weekly,Dengue,2026-03-16,EG,11
Weekly,Dengue,2026-03-16,GH,2
Weekly,Dengue,2026-03-16,HG,3
Weekly,Dengue,2026-03-16,MC,1
Weekly,Dengue,2026-03-23,BO,1
Weekly,Dengue,2026-03-23,BU,17
Weekly,Dengue,2026-03-23,EG,7
Weekly,Dengue,2026-03-23,HG,6
Weekly,Dengue,2026-03-23,MC,2
Weekly,Dengue,2026-03-30,BO,1
Weekly,Dengue,2026-03-30,BU,18
Weekly,Dengue,2026-03-30,EG,4
Weekly,Dengue,2026-03-30,GH,1
Weekly,Dengue,2026-03-30,HG,9
Weekly,Dengue,2026-03-30,SL,4
Weekly,Dengue,2026-04-06,BU,11
Weekly,Dengue,2026-04-06,EG,11
Weekly,Dengue,2026-04-06,GH,1
Weekly,Dengue,2026-04-06,HG,8
Weekly,Dengue,2026-04-13,BO,2
Weekly,Dengue,2026-04-13,BU,7
Weekly,Dengue,2026-04-13,EG,9
Weekly,Dengue,2026-04-13,GH,1
Weekly,Dengue,2026-04-13,HG,2
Monthly,Dengue,2026-01,,231
Monthly,Dengue,2026-02,,491
Monthly,Dengue,2026-03,,178
Monthly,Dengue,2026-04,,76
Hospital,Dengue,BA,,10
Hospital,Dengue,BE,,15
Hospital,Dengue,BO,,27
Hospital,Dengue,BU,,428
Hospital,Dengue,EG,,70
Hospital,Dengue,GH,,61
Hospital,Dengue,HG,,339
Hospital,Dengue,MC,,21
Hospital,Dengue,SL,,5
Gender,Dengue,F,,511
Gender,Dengue,M,,465
Age,Dengue,0-4,,109
Age,Dengue,5-14,,101
Age,Dengue,15-24,,240
Age,Dengue,25-44,,245
Age,Dengue,45-64,,147
Age,Dengue,65+,,91
Total,Malaria,,,305
Weekly,Malaria,2025-12-29,EG,2
Weekly,Malaria,2026-01-05,BE,4
Weekly,Malaria,2026-01-05,BO,2
Weekly,Malaria,2026-01-05,BU,2
Weekly,Malaria,2026-01-05,GH,1
Weekly,Malaria,2026-01-05,HG,4
Weekly,Malaria,2026-01-12,BE,7
Weekly,Malaria,2026-01-12,BO,7
Weekly,Malaria,2026-01-12,EG,1
Weekly,Malaria,2026-01-12,GH,2
Weekly,Malaria,2026-01-12,HG,3
Weekly,Malaria,2026-01-19,BO,14
Weekly,Malaria,2026-01-19,BU,1
Weekly,Malaria,2026-01-19,EG,1
Weekly,Malaria,2026-01-19,GH,2
Weekly,Malaria,2026-01-19,HG,2
Weekly,Malaria,2026-01-26,BE,11
Weekly,Malaria,2026-01-26,BO,35
Weekly,Malaria,2026-01-26,BU,1
Weekly,Malaria,2026-01-26,GH,2
Weekly,Malaria,2026-01-26,HG,5
Weekly,Malaria,2026-02-02,BE,5
Weekly,Malaria,2026-02-02,BO,24
Weekly,Malaria,2026-02-02,BU,1
Weekly,Malaria,2026-02-02,GH,5
Weekly,Malaria,2026-02-02,HG,2
Weekly,Malaria,2026-02-09,BE,2
Weekly,Malaria,2026-02-09,BO,23
Weekly,Malaria,2026-02-09,GH,3
Weekly,Malaria,2026-02-09,HG,2
Weekly,Malaria,2026-02-16,BE,6
Weekly,Malaria,2026-02-16,BO,13
Weekly,Malaria,2026-02-16,EG,1
Weekly,Malaria,2026-02-16,HG,1
Weekly,Malaria,2026-02-23,BE,3
Weekly,Malaria,2026-02-23,BO,4
Weekly,Malaria,2026-02-23,EG,2
Weekly,Malaria,2026-02-23,GH,4
Weekly,Malaria,2026-02-23,HG,1
Weekly,Malaria,2026-03-02,BE,3
Weekly,Malaria,2026-03-02,BO,8
Weekly,Malaria,2026-03-02,GH,1
Weekly,Malaria,2026-03-02,HG,4
Weekly,Malaria,2026-03-09,BE,2
Weekly,Malaria,2026-03-09,EG,2
Weekly,Malaria,2026-03-09,HG,1
Weekly,Malaria,2026-03-16,BE,2
Weekly,Malaria,2026-03-16,BO,3
Weekly,Malaria,2026-03-16,BU,1
Weekly,Malaria,2026-03-16,EG,1
Weekly,Malaria,2026-03-16,HG,1
Weekly,Malaria,2026-03-23,BE,2
Weekly,Malaria,2026-03-23,BO,6
Weekly,Malaria,2026-03-23,BU,1
Weekly,Malaria,2026-03-23,EG,3
Weekly,Malaria,2026-03-23,GH,1
Weekly,Malaria,2026-03-23,HG,1
Weekly,Malaria,2026-03-30,BE,3
Weekly,Malaria,2026-03-30,BO,5
Weekly,Malaria,2026-03-30,BU,1
Weekly,Malaria,2026-03-30,EG,2
Weekly,Malaria,2026-03-30,GH,2
Weekly,Malaria,2026-03-30,HG,1
Weekly,Malaria,2026-04-06,BE,7
Weekly,Malaria,2026-04-06,BO,10
Weekly,Malaria,2026-04-06,BU,1
Weekly,Malaria,2026-04-06,EG,1
Weekly,Malaria,2026-04-06,GH,1
Weekly,Malaria,2026-04-13,BE,7
Weekly,Malaria,2026-04-13,BO,9
Weekly,Malaria,2026-04-13,HG,1
Monthly,Malaria,2026-01,,101
Monthly,Malaria,2026-02,,109
Monthly,Malaria,2026-03,,50
Monthly,Malaria,2026-04,,45
Hospital,Malaria,BE,,64
Hospital,Malaria,BO,,163
Hospital,Malaria,BU,,9
Hospital,Malaria,EG,,16
Hospital,Malaria,GH,,24
Hospital,Malaria,HG,,29
Gender,Malaria,F,,107
Gender,Malaria,M,,198
Age,Malaria,0-4,,9
Age,Malaria,5-14,,46
Age,Malaria,15-24,,85
Age,Malaria,25-44,,98
Age,Malaria,45-64,,49
Age,Malaria,65+,,14
Total,Cholera,,,49
Weekly,Cholera,2025-12-29,HG,2
Weekly,Cholera,2026-01-05,BU,1
Weekly,Cholera,2026-01-12,HG,1
Weekly,Cholera,2026-01-19,HG,4
Weekly,Cholera,2026-01-26,BU,1
Weekly,Cholera,2026-01-26,HG,3
Weekly,Cholera,2026-02-02,HG,3
Weekly,Cholera,2026-02-09,HG,5
Weekly,Cholera,2026-02-16,BU,1
Weekly,Cholera,2026-02-23,GH,2
Weekly,Cholera,2026-02-23,HG,2
Weekly,Cholera,2026-03-02,HG,3
Weekly,Cholera,2026-03-09,GH,1
Weekly,Cholera,2026-03-09,HG,2
Weekly,Cholera,2026-03-23,HG,2
Weekly,Cholera,2026-03-30,GH,4
Weekly,Cholera,2026-03-30,HG,3
Weekly,Cholera,2026-04-06,BE,1
Weekly,Cholera,2026-04-06,EG,2
Weekly,Cholera,2026-04-06,HG,1
Weekly,Cholera,2026-04-13,BU,2
Weekly,Cholera,2026-04-13,GH,1
Weekly,Cholera,2026-04-13,HG,2
Monthly,Cholera,2026-01,,12
Monthly,Cholera,2026-02,,13
Monthly,Cholera,2026-03,,11
Monthly,Cholera,2026-04,,13
Hospital,Cholera,BE,,1
Hospital,Cholera,BU,,5
Hospital,Cholera,EG,,2
Hospital,Cholera,GH,,8
Hospital,Cholera,HG,,33
Gender,Cholera,F,,23
Gender,Cholera,M,,26
Age,Cholera,5-14,,2
Age,Cholera,15-24,,12
Age,Cholera,25-44,,14
Age,Cholera,45-64,,8
Age,Cholera,65+,,12
Total,AWD,,,103
Weekly,AWD,2025-12-29,HG,1
Weekly,AWD,2025-12-29,MC,2
Weekly,AWD,2026-01-05,HG,1
Weekly,AWD,2026-01-05,MC,1
Weekly,AWD,2026-01-12,BE,1
Weekly,AWD,2026-01-12,MC,6
Weekly,AWD,2026-01-19,EG,2
Weekly,AWD,2026-01-19,HG,3
Weekly,AWD,2026-01-19,MC,8
Weekly,AWD,2026-01-26,MC,19
Weekly,AWD,2026-02-02,HG,4
Weekly,AWD,2026-02-02,MC,4
Weekly,AWD,2026-02-09,EG,1
Weekly,AWD,2026-02-09,MC,3
Weekly,AWD,2026-02-16,HG,3
Weekly,AWD,2026-02-16,MC,7
Weekly,AWD,2026-02-23,HG,1
Weekly,AWD,2026-03-02,HG,1
Weekly,AWD,2026-03-02,MC,5
Weekly,AWD,2026-03-09,EG,2
Weekly,AWD,2026-03-09,MC,1
Weekly,AWD,2026-03-16,EG,1
Weekly,AWD,2026-03-16,HG,1
Weekly,AWD,2026-03-23,HG,1
Weekly,AWD,2026-03-23,MC,2
Weekly,AWD,2026-03-30,HG,2
Weekly,AWD,2026-03-30,MC,2
Weekly,AWD,2026-04-06,EG,2
Weekly,AWD,2026-04-06,HG,3
Weekly,AWD,2026-04-06,MC,8
Weekly,AWD,2026-04-13,EG,1
Weekly,AWD,2026-04-13,HG,1
Weekly,AWD,2026-04-13,MC,3
Monthly,AWD,2026-01,,39
Monthly,AWD,2026-02,,27
Monthly,AWD,2026-03,,16
Monthly,AWD,2026-04,,21
Hospital,AWD,BE,,1
Hospital,AWD,EG,,9
Hospital,AWD,HG,,22
Hospital,AWD,MC,,71
Gender,AWD,F,,48
Gender,AWD,M,,55
Age,AWD,0-4,,50
Age,AWD,5-14,,16
Age,AWD,15-24,,8
Age,AWD,25-44,,2
Age,AWD,45-64,,8
Age,AWD,65+,,4
Total,TB,,,69
Weekly,TB,2025-12-29,BU,3
Weekly,TB,2025-12-29,HG,1
Weekly,TB,2026-01-05,BE,1
Weekly,TB,2026-01-05,BU,2
Weekly,TB,2026-01-12,BU,2
Weekly,TB,2026-01-19,HG,2
Weekly,TB,2026-01-26,HG,4
Weekly,TB,2026-02-02,BE,1
Weekly,TB,2026-02-02,BO,1
Weekly,TB,2026-02-02,HG,1
Weekly,TB,2026-02-09,BA,1
Weekly,TB,2026-02-09,BU,3
Weekly,TB,2026-02-09,GH,1
Weekly,TB,2026-02-09,HG,1
Weekly,TB,2026-02-16,BE,2
Weekly,TB,2026-02-16,BO,1
Weekly,TB,2026-02-16,BU,2
Weekly,TB,2026-02-16,HG,2
Weekly,TB,2026-02-23,BU,1
Weekly,TB,2026-02-23,HG,2
Weekly,TB,2026-03-02,BE,3
Weekly,TB,2026-03-02,BU,1
Weekly,TB,2026-03-02,HG,1
Weekly,TB,2026-03-09,BE,3
Weekly,TB,2026-03-09,BU,2
Weekly,TB,2026-03-09,EG,1
Weekly,TB,2026-03-09,HG,2
Weekly,TB,2026-03-16,BE,1
Weekly,TB,2026-03-16,BU,3
Weekly,TB,2026-03-23,BE,1
Weekly,TB,2026-03-23,BU,1
Weekly,TB,2026-03-30,BE,2
Weekly,TB,2026-03-30,GH,1
Weekly,TB,2026-03-30,HG,1
Weekly,TB,2026-04-06,BE,3
Weekly,TB,2026-04-06,BU,2
Weekly,TB,2026-04-06,EG,1
Weekly,TB,2026-04-06,HG,1
Weekly,TB,2026-04-13,BE,1
Weekly,TB,2026-04-13,BU,1
Weekly,TB,2026-04-13,EG,1
Weekly,TB,2026-04-13,HG,1
Weekly,TB,2026-04-13,MC,1
Monthly,TB,2026-01,,15
Monthly,TB,2026-02,,19
Monthly,TB,2026-03,,19
Monthly,TB,2026-04,,16
Hospital,TB,BA,,1
Hospital,TB,BE,,18
Hospital,TB,BO,,2
Hospital,TB,BU,,23
Hospital,TB,EG,,3
Hospital,TB,GH,,2
Hospital,TB,HG,,19
Hospital,TB,MC,,1
Gender,TB,F,,22
Gender,TB,M,,47
Age,TB,0-4,,1
Age,TB,5-14,,3
Age,TB,15-24,,10
Age,TB,25-44,,22
Age,TB,45-64,,23
Age,TB,65+,,9